CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNS,PDT,PRP,PRP$,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Author
0.058,0.007,0.118,0.004,0,0.159,0.064,0.005,0.003,0.01,0.178,0,0.063,0.003,0.057,0.027,0.038,0.001,0.001,0,0.022,0.026,0.007,0.006,0.02,0.042,0.04,0.022,0.014,0.002,0.003,ps
0.064,0.004,0.112,0.002,0.001,0.131,0.068,0.001,0,0.017,0.155,0,0.066,0.001,0.057,0.023,0.039,0.002,0.003,0,0.031,0.039,0.022,0.024,0.034,0.03,0.041,0.014,0.017,0.001,0.001,ps
0.05189620758,0.008982035928,0.125748503,0,0,0.1407185629,0.07784431138,0.000998003992,0.001996007984,0.0119760479,0.1477045908,0,0.06586826347,0.001996007984,0.04890219561,0.0119760479,0.04191616766,0.000998003992,0.001996007984,0.001996007984,0.03093812375,0.04391217565,0.01097804391,0.0129740519,0.03493013972,0.0499001996,0.03592814371,0.01996007984,0.01097804391,0,0.005988023952,ps
0.06686626747,0.003992015968,0.127744511,0.001996007984,0,0.1437125749,0.08083832335,0.002994011976,0.000998003992,0.01696606786,0.1676646707,0,0.04690618762,0.000998003992,0.04890219561,0.01596806387,0.04590818363,0.002994011976,0.002994011976,0.000998003992,0.02594810379,0.04491017964,0.01097804391,0.006986027944,0.02894211577,0.02694610778,0.04291417166,0.01796407186,0.00499001996,0.003992015968,0.005988023952,ps
0.043,0.003,0.126,0.003,0,0.146,0.07,0.001,0.002,0.018,0.172,0,0.05,0.001,0.043,0.015,0.05,0.001,0.003,0,0.042,0.054,0.005,0.014,0.03,0.027,0.045,0.029,0.005,0,0.002,ps
0.047,0.001,0.129,0.003,0.001,0.157,0.077,0.003,0.001,0.016,0.155,0,0.063,0.003,0.035,0.021,0.036,0.003,0.003,0.001,0.041,0.05,0.007,0.013,0.03,0.025,0.038,0.032,0.008,0,0.001,ps
0.048,0.003,0.154,0,0,0.154,0.091,0.003,0.002,0.015,0.171,0,0.073,0.004,0.032,0.012,0.033,0.003,0.002,0,0.023,0.023,0.007,0.009,0.03,0.038,0.035,0.021,0.011,0.001,0.002,ps
0.04890219561,0.003992015968,0.123752495,0.000998003992,0,0.1437125749,0.08483033932,0,0.003992015968,0.02295409182,0.1447105788,0,0.07884231537,0,0.0499001996,0.02694610778,0.03892215569,0.003992015968,0.002994011976,0.001996007984,0.02794411178,0.03193612774,0.006986027944,0.02295409182,0.03093812375,0.04291417166,0.02894211577,0.01896207585,0.003992015968,0.001996007984,0.000998003992,ps
0.043,0.014,0.123,0.001,0,0.151,0.093,0.002,0.001,0.016,0.163,0,0.062,0,0.035,0.018,0.052,0.001,0.002,0.001,0.027,0.041,0.024,0.018,0.042,0.022,0.024,0.014,0.004,0,0.006,ps
0.03796203796,0.003996003996,0.1408591409,0.001998001998,0,0.1408591409,0.09490509491,0.001998001998,0.006993006993,0.02297702298,0.1758241758,0,0.05994005994,0.000999000999,0.03396603397,0.01098901099,0.02597402597,0,0.004995004995,0,0.03696303696,0.03696303696,0.001998001998,0.01998001998,0.03496503497,0.01998001998,0.04895104895,0.02797202797,0.002997002997,0.000999000999,0.002997002997,ps
0.04028197382,0.003021148036,0.1299093656,0.003021148036,0,0.1570996979,0.0775427996,0.002014098691,0.002014098691,0.01409869084,0.1863041289,0,0.05337361531,0.004028197382,0.03625377644,0.02114803625,0.04028197382,0.002014098691,0,0,0.02517623364,0.0332326284,0.01409869084,0.01611278953,0.04229607251,0.02719033233,0.0443101712,0.01913393756,0.004028197382,0,0.002014098691,ps
0.033,0.007,0.128,0.003,0,0.156,0.092,0.001,0.003,0.026,0.173,0,0.053,0.002,0.043,0.015,0.032,0.002,0.001,0,0.04,0.054,0.006,0.016,0.032,0.027,0.032,0.013,0.008,0,0.002,ps
0.04095904096,0.003996003996,0.1448551449,0,0,0.1488511489,0.0959040959,0.000999000999,0.001998001998,0.01498501499,0.1488511489,0,0.06293706294,0.000999000999,0.04095904096,0.02597402597,0.04495504496,0.003996003996,0.003996003996,0,0.02597402597,0.02597402597,0.008991008991,0.01598401598,0.02697302697,0.03096903097,0.05094905095,0.01898101898,0.008991008991,0,0.000999000999,ps
0.055,0.004,0.139,0,0,0.154,0.097,0.005,0.003,0.011,0.172,0,0.075,0.001,0.031,0.023,0.037,0.002,0.003,0,0.032,0.03,0.028,0.007,0.03,0.021,0.014,0.022,0.002,0,0.002,ps
0.06193806194,0.000999000999,0.1328671329,0.003996003996,0,0.1488511489,0.1068931069,0.000999000999,0.001998001998,0.01498501499,0.1488511489,0,0.07792207792,0.001998001998,0.02997002997,0.01798201798,0.04495504496,0.005994005994,0.002997002997,0,0.01798201798,0.02897102897,0.02697302697,0.01398601399,0.02997002997,0.01998001998,0.02497502498,0.01598401598,0.01198801199,0,0.004995004995,ps
0.05594405594,0.006993006993,0.1488511489,0.001998001998,0,0.1628371628,0.09190809191,0.001998001998,0.007992007992,0.005994005994,0.1808191808,0,0.06193806194,0.003996003996,0.01898101898,0.02097902098,0.04495504496,0.003996003996,0.003996003996,0.000999000999,0.01598401598,0.01898101898,0.01498501499,0.00999000999,0.03096903097,0.01898101898,0.03996003996,0.01898101898,0.003996003996,0.000999000999,0.000999000999,ps
0.056,0.006,0.169,0.002,0,0.16,0.069,0.001,0.001,0.01,0.193,0,0.08,0,0.024,0.02,0.026,0.003,0.001,0,0.034,0.027,0.006,0.02,0.019,0.015,0.036,0.02,0.002,0,0,ps
0.072,0.001,0.15,0,0,0.153,0.073,0.004,0.003,0.012,0.182,0,0.091,0.002,0.027,0.012,0.039,0.005,0.003,0,0.023,0.025,0.005,0.007,0.014,0.029,0.039,0.023,0.004,0.001,0.001,ps
0.055,0.001,0.132,0.001,0,0.157,0.085,0,0.001,0.013,0.196,0,0.068,0.004,0.033,0.026,0.039,0.003,0.001,0.001,0.019,0.027,0.011,0.009,0.024,0.024,0.043,0.023,0.004,0,0,ps
0.06293706294,0.000999000999,0.1228771229,0.000999000999,0,0.1508491508,0.1008991009,0.000999000999,0.001998001998,0.01798201798,0.1758241758,0,0.06693306693,0.000999000999,0.03796203796,0.02797202797,0.02697302697,0.002997002997,0.001998001998,0.000999000999,0.01998001998,0.03496503497,0.01498501499,0.01498501499,0.02597402597,0.01598401598,0.04095904096,0.02097902098,0.005994005994,0.000999000999,0.000999000999,ps
0.061,0.004,0.139,0.001,0,0.163,0.085,0.001,0.004,0.014,0.19,0,0.045,0.003,0.029,0.014,0.033,0.003,0.003,0,0.027,0.023,0.017,0.014,0.052,0.018,0.034,0.02,0.001,0,0.002,ps
0.05494505495,0,0.1298701299,0,0,0.1608391608,0.07892107892,0.003996003996,0.003996003996,0.007992007992,0.1778221778,0.000999000999,0.05994005994,0.003996003996,0.03596403596,0.01598401598,0.03996003996,0.002997002997,0.001998001998,0.000999000999,0.02497502498,0.02597402597,0.01498501499,0.01398601399,0.03196803197,0.02397602398,0.05094905095,0.02597402597,0.003996003996,0,0.001998001998,ps
0.054,0.003,0.148,0.001,0,0.161,0.083,0.004,0.003,0.011,0.19,0,0.074,0.001,0.027,0.017,0.028,0.003,0.001,0.001,0.027,0.032,0.024,0.012,0.038,0.017,0.02,0.012,0.005,0,0.002,ps
0.05494505495,0.000999000999,0.1428571429,0,0.000999000999,0.1598401598,0.08191808192,0,0.004995004995,0.01198801199,0.1938061938,0,0.07192807193,0.001998001998,0.02897102897,0.02097902098,0.02297702298,0.003996003996,0.001998001998,0,0.01998001998,0.02897102897,0.03696303696,0.006993006993,0.04195804196,0.01698301698,0.01898101898,0.01798201798,0.001998001998,0.001998001998,0.001998001998,ps
0.051,0.006,0.134,0,0,0.157,0.093,0.001,0.003,0.008,0.21,0,0.042,0.001,0.029,0.023,0.027,0.002,0.004,0.001,0.026,0.029,0.03,0.016,0.041,0.017,0.029,0.014,0.004,0.001,0.001,ps
0.048,0.003,0.138,0.002,0,0.146,0.074,0.011,0.009,0.014,0.186,0,0.057,0.001,0.036,0.013,0.035,0.002,0,0.002,0.024,0.033,0.013,0.015,0.039,0.044,0.032,0.015,0.006,0,0.002,ps
0.05982053838,0.0009970089731,0.1635094716,0.0009970089731,0,0.1445663011,0.06979062812,0.001994017946,0.006979062812,0.01296111665,0.1944167498,0,0.05084745763,0,0.036889332,0.01196410768,0.03290129611,0.0009970089731,0.003988035892,0.0009970089731,0.02791625125,0.02891326022,0.008973080758,0.01894317049,0.02791625125,0.01794616152,0.04386839482,0.01994017946,0.006979062812,0.0009970089731,0.002991026919,ps
0.052,0.002,0.126,0.002,0.001,0.138,0.08,0,0.01,0.008,0.175,0,0.058,0.001,0.059,0.022,0.022,0.001,0.008,0,0.034,0.032,0.013,0.012,0.03,0.031,0.056,0.018,0.005,0,0.004,ps
0.04288499025,0.009746588694,0.1354775828,0.0009746588694,0,0.1432748538,0.07797270955,0.0009746588694,0,0.003898635478,0.2095516569,0.007797270955,0.05847953216,0.002923976608,0.03801169591,0.03898635478,0.03703703704,0,0.001949317739,0.003898635478,0.0126705653,0.01656920078,0.06530214425,0.0253411306,0.02436647173,0.01169590643,0.01364522417,0.004873294347,0.005847953216,0.001949317739,0.003898635478,ms
0.05064548163,0.006951340616,0.1082423039,0,0.0009930486594,0.1410129096,0.06156901688,0.001986097319,0.002979145978,0.009930486594,0.1876861966,0,0.05263157895,0,0.06454816286,0.05660377358,0.04568023833,0.002979145978,0,0.001986097319,0.02482621648,0.02979145978,0.08043694141,0.01290963257,0.02979145978,0.006951340616,0.004965243297,0.006951340616,0.002979145978,0,0.003972194638,ms
0.0375360924,0.00384985563,0.1087584216,0.00384985563,0,0.1270452358,0.08950914341,0.001924927815,0.0009624639076,0.01154956689,0.1761308951,0.01636188643,0.03657362849,0.001924927815,0.07025986526,0.03368623677,0.04427333975,0.00384985563,0,0.002887391723,0.02406159769,0.03176130895,0.08565928778,0.01058710298,0.02406159769,0.02309913378,0.01539942252,0.001924927815,0.005774783446,0.0009624639076,0.005774783446,ms
0.04238921002,0.004816955684,0.08766859345,0.00289017341,0,0.1069364162,0.06262042389,0.0009633911368,0,0.01156069364,0.1897880539,0.0105973025,0.04335260116,0,0.07418111753,0.05684007707,0.04527938343,0.0009633911368,0,0.001926782274,0.0289017341,0.03564547206,0.09441233141,0.01734104046,0.03468208092,0.01348747592,0.01348747592,0.005780346821,0.006743737958,0,0.006743737958,ms
0.04296875,0.00390625,0.09375,0.001953125,0,0.111328125,0.0615234375,0,0.001953125,0.013671875,0.1845703125,0.0068359375,0.0390625,0.0029296875,0.080078125,0.0576171875,0.0439453125,0.0029296875,0,0.001953125,0.029296875,0.046875,0.0986328125,0.0224609375,0.0224609375,0.01171875,0.0068359375,0.0009765625,0.0029296875,0.0009765625,0.005859375,ms
0.03595080416,0.003784295175,0.1050141911,0.0009460737938,0,0.1069063387,0.07473982971,0.0009460737938,0.0009460737938,0.009460737938,0.1797540208,0.01608325449,0.0454115421,0,0.07284768212,0.04635761589,0.04824976348,0.0009460737938,0,0.005676442763,0.02838221381,0.04162724693,0.07757805109,0.01229895932,0.0302743614,0.02081362346,0.02270577105,0.002838221381,0.0009460737938,0,0.00756859035,ms
0.04326450344,0.004916420846,0.1052114061,0,0,0.1425762045,0.08554572271,0.001966568338,0.0009832841691,0.005899705015,0.2045231072,0.006882989184,0.0540806293,0.001966568338,0.04424778761,0.05211406096,0.03638151426,0.001966568338,0,0.0009832841691,0.0285152409,0.02359882006,0.06784660767,0.01868239921,0.02753195674,0.01179941003,0.008849557522,0.007866273353,0.002949852507,0.002949852507,0.005899705015,ms
0.04625984252,0.004921259843,0.1151574803,0,0,0.1328740157,0.06200787402,0.001968503937,0,0.009842519685,0.1929133858,0.002952755906,0.0374015748,0,0.07775590551,0.03838582677,0.05708661417,0,0,0.001968503937,0.01771653543,0.02559055118,0.09350393701,0.02263779528,0.03248031496,0.00688976378,0.005905511811,0.005905511811,0.0009842519685,0,0.00688976378,ms
0.05351833499,0.006937561943,0.1040634291,0.001982160555,0,0.1328047572,0.07433102081,0.002973240833,0.002973240833,0.008919722498,0.1724479683,0.002973240833,0.04063429138,0.0009910802775,0.0703666997,0.04459861249,0.04063429138,0,0.001982160555,0.001982160555,0.03270564916,0.03865213082,0.0792864222,0.01883052527,0.03270564916,0.006937561943,0.006937561943,0.006937561943,0.005946481665,0,0.005946481665,ms
0.03773584906,0.005660377358,0.09811320755,0.001886792453,0.0009433962264,0.1235849057,0.08301886792,0.002830188679,0,0.01132075472,0.2037735849,0.0179245283,0.03113207547,0,0.06509433962,0.04150943396,0.04245283019,0.002830188679,0.0009433962264,0.004716981132,0.02452830189,0.0320754717,0.08113207547,0.02264150943,0.0179245283,0.01698113208,0.01132075472,0.002830188679,0.007547169811,0.001886792453,0.005660377358,ms
0.03793774319,0.008754863813,0.1118677043,0.001945525292,0,0.126459144,0.07392996109,0.0009727626459,0.001945525292,0.01070038911,0.2110894942,0.01070038911,0.03501945525,0,0.0486381323,0.04280155642,0.03988326848,0.002918287938,0,0,0.03891050584,0.03696498054,0.07684824903,0.01361867704,0.03015564202,0.01459143969,0.008754863813,0.008754863813,0.001945525292,0.0009727626459,0.002918287938,ms
